"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2010年","14000","神奈川県","69473",""
"2010年","15000","新潟県","11382",""
"2010年","16000","富山県","5388",""
"2010年","17000","石川県","6484",""
"2010年","18000","福井県","3816",""
"2010年","19000","山梨県","4681",""
"2010年","20000","長野県","10650",""
"2010年","21000","岐阜県","11166",""
"2010年","22000","静岡県","25314",""
"2010年","23000","愛知県","57952",""
"2010年","24000","三重県","10208",""
"2010年","25000","滋賀県","9688",""
"2010年","26000","京都府","15269",""
"2010年","27000","大阪府","54619",""
"2010年","28000","兵庫県","34756",""
"2010年","29000","奈良県","6423",""
"2010年","30000","和歌山県","4867",""
"2010年","31000","鳥取県","2140",""
"2010年","32000","島根県","2463",""
"2010年","33000","岡山県","10231",""
"2010年","34000","広島県","14851",""
"2010年","35000","山口県","7046",""
"2010年","36000","徳島県","3822",""
"2010年","37000","香川県","5450",""
"2010年","38000","愛媛県","6517",""
"2010年","39000","高知県","2680",""
"2010年","40000","福岡県","31156",""
"2010年","41000","佐賀県","4075",""
"2010年","42000","長崎県","5466",""
"2010年","43000","熊本県","8842",""
"2010年","44000","大分県","5758",""
"2010年","45000","宮崎県","5738",""
"2010年","46000","鹿児島県","8669",""
"2010年","47000","沖縄県","10709",""
"2011年","01000","北海道","32327",""
"2011年","02000","青森県","4890",""
"2011年","03000","岩手県","4898",""
"2011年","04000","宮城県","12700",""
"2011年","05000","秋田県","3720",""
"2011年","06000","山形県","4336",""
"2011年","07000","福島県","7826",""
"2011年","08000","茨城県","19311",""
"2011年","09000","栃木県","13083",""
"2011年","10000","群馬県","12041",""
"2011年","11000","埼玉県","57767",""
"2011年","12000","千葉県","41142",""
"2011年","13000","東京都","130700",""
"2011年","14000","神奈川県","74584",""
"2011年","15000","新潟県","10973",""
"2011年","16000","富山県","5665",""
"2011年","17000","石川県","6927",""
"2011年","18000","福井県","4012",""
"2011年","19000","山梨県","4316",""
"2011年","20000","長野県","10378",""
"2011年","21000","岐阜県","10655",""
"2011年","22000","静岡県","25023",""
"2011年","23000","愛知県","56887",""
"2011年","24000","三重県","9392",""
"2011年","25000","滋賀県","8726",""
"2011年","26000","京都府","14681",""
"2011年","27000","大阪府","58427",""
"2011年","28000","兵庫県","32485",""
"2011年","29000","奈良県","6079",""
"2011年","30000","和歌山県","4825",""
"2011年","31000","鳥取県","2367",""
"2011年","32000","島根県","3024",""
"2011年","33000","岡山県","10325",""
"2011年","34000","広島県","16342",""
"2011年","35000","山口県","6769",""
"2011年","36000","徳島県","3375",""
"2011年","37000","香川県","5510",""
"2011年","38000","愛媛県","7262",""
"2011年","39000","高知県","2807",""
"2011年","40000","福岡県","34945",""
"2011年","41000","佐賀県","4417",""
"2011年","42000","長崎県","5501",""
"2011年","43000","熊本県","10063",""
"2011年","44000","大分県","5691",""
"2011年","45000","宮崎県","6076",""
"2011年","46000","鹿児島県","9039",""
"2011年","47000","沖縄県","11828",""
"2012年","01000","北海道","35237",""
"2012年","02000","青森県","5578",""
"2012年","03000","岩手県","7752",""
"2012年","04000","宮城県","20609",""
"2012年","05000","秋田県","3668",""
"2012年","06000","山形県","4716",""
"2012年","07000","福島県","11353",""
"2012年","08000","茨城県","22482",""
"2012年","09000","栃木県","14814",""
"2012年","10000","群馬県","12114",""
"2012年","11000","埼玉県","59605",""
"2012年","12000","千葉県","46013",""
"2012年","13000","東京都","140862",""
"2012年","14000","神奈川県","67606",""
"2012年","15000","新潟県","11953",""
"2012年","16000","富山県","5192",""
"2012年","17000","石川県","6164",""
"2012年","18000","福井県","3614",""
"2012年","19000","山梨県","4286",""
"2012年","20000","長野県","10483",""
"2012年","21000","岐阜県","10603",""
"2012年","22000","静岡県","24722",""
"2012年","23000","愛知県","56280",""
"2012年","24000","三重県","9554",""
"2012年","25000","滋賀県","9271",""
"2012年","26000","京都府","15408",""
"2012年","27000","大阪府","61617",""
"2012年","28000","兵庫県","33695",""
"2012年","29000","奈良県","6740",""
"2012年","30000","和歌山県","4961",""
"2012年","31000","鳥取県","2101",""
"2012年","32000","島根県","3037",""
"2012年","33000","岡山県","12500",""
"2012年","34000","広島県","16487",""
"2012年","35000","山口県","8494",""
"2012年","36000","徳島県","3616",""
"2012年","37000","香川県","4976",""
"2012年","38000","愛媛県","7535",""
"2012年","39000","高知県","2761",""
"2012年","40000","福岡県","36111",""
"2012年","41000","佐賀県","4524",""
"2012年","42000","長崎県","6344",""
"2012年","43000","熊本県","11521",""
"2012年","44000","大分県","6670",""
"2012年","45000","宮崎県","6754",""
"2012年","46000","鹿児島県","9701",""
"2012年","47000","沖縄県","12713",""
"2013年","01000","北海道","35397",""
"2013年","02000","青森県","6461",""
"2013年","03000","岩手県","9430",""
"2013年","04000","宮城県","24163",""
"2013年","05000","秋田県","4421",""
"2013年","06000","山形県","5864",""
"2013年","07000","福島県","15233",""
"2013年","08000","茨城県","23416",""
"2013年","09000","栃木県","14545",""
"2013年","10000","群馬県","13776",""
"2013年","11000","埼玉県","63024",""
"2013年","12000","千葉県","46744",""
"2013年","13000","東京都","144562",""
"2013年","14000","神奈川県","79331",""
"2013年","15000","新潟県","13522",""
"2013年","16000","富山県","6409",""
"2013年","17000","石川県","7562",""
"2013年","18000","福井県","4439",""
"2013年","19000","山梨県","5158",""
"2013年","20000","長野県","12398",""
"2013年","21000","岐阜県","12590",""
"2013年","22000","静岡県","28002",""
"2013年","23000","愛知県","64478",""
"2013年","24000","三重県","10738",""
"2013年","25000","滋賀県","11015",""
"2013年","26000","京都府","18812",""
"2013年","27000","大阪府","69335",""
"2013年","28000","兵庫県","36076",""
"2013年","29000","奈良県","7752",""
"2013年","30000","和歌山県","5637",""
"2013年","31000","鳥取県","2435",""
"2013年","32000","島根県","3411",""
"2013年","33000","岡山県","12831",""
"2013年","34000","広島県","19608",""
"2013年","35000","山口県","8625",""
"2013年","36000","徳島県","4516",""
"2013年","37000","香川県","7217",""
"2013年","38000","愛媛県","8613",""
"2013年","39000","高知県","3612",""
"2013年","40000","福岡県","41335",""
"2013年","41000","佐賀県","5568",""
"2013年","42000","長崎県","6661",""
"2013年","43000","熊本県","12078",""
"2013年","44000","大分県","7431",""
"2013年","45000","宮崎県","7869",""
"2013年","46000","鹿児島県","11307",""
"2013年","47000","沖縄県","16618",""
"2014年","01000","北海道","32373",""
"2014年","02000","青森県","5469",""
"2014年","03000","岩手県","9111",""
"2014年","04000","宮城県","26039",""
"2014年","05000","秋田県","3776",""
"2014年","06000","山形県","4550",""
"2014年","07000","福島県","15165",""
"2014年","08000","茨城県","22371",""
"2014年","09000","栃木県","13581",""
"2014年","10000","群馬県","12173",""
"2014年","11000","埼玉県","56504",""
"2014年","12000","千葉県","47434",""
"2014年","13000","東京都","142417",""
"2014年","14000","神奈川県","65157",""
"2014年","15000","新潟県","11458",""
"2014年","16000","富山県","5517",""
"2014年","17000","石川県","6455",""
"2014年","18000","福井県","3495",""
"2014年","19000","山梨県","4359",""
"2014年","20000","長野県","11017",""
"2014年","21000","岐阜県","10284",""
"2014年","22000","静岡県","24497",""
"2014年","23000","愛知県","55888",""
"2014年","24000","三重県","9858",""
"2014年","25000","滋賀県","8429",""
"2014年","26000","京都府","17600",""
"2014年","27000","大阪府","64528",""
"2014年","28000","兵庫県","34322",""
"2014年","29000","奈良県","5847",""
"2014年","30000","和歌山県","5014",""
"2014年","31000","鳥取県","2454",""
"2014年","32000","島根県","3003",""
"2014年","33000","岡山県","10960",""
"2014年","34000","広島県","16451",""
"2014年","35000","山口県","7714",""
"2014年","36000","徳島県","4023",""
"2014年","37000","香川県","5899",""
"2014年","38000","愛媛県","6937",""
"2014年","39000","高知県","2706",""
"2014年","40000","福岡県","37035",""
"2014年","41000","佐賀県","4830",""
"2014年","42000","長崎県","6283",""
"2014年","43000","熊本県","11267",""
"2014年","44000","大分県","6165",""
