"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1979年","15000","新潟県","3907",""
"1979年","16000","富山県","817",""
"1979年","17000","石川県","1275",""
"1979年","18000","福井県","1303",""
"1979年","19000","山梨県","1387",""
"1979年","20000","長野県","3810",""
"1979年","21000","岐阜県","2026",""
"1979年","22000","静岡県","5029",""
"1979年","23000","愛知県","2564",""
"1979年","24000","三重県","2584",""
"1979年","25000","滋賀県","792",""
"1979年","26000","京都府","1601",""
"1979年","27000","大阪府","1934",""
"1979年","28000","兵庫県","2911",""
"1979年","29000","奈良県","715",""
"1979年","30000","和歌山県","1336",""
"1979年","31000","鳥取県","739",""
"1979年","32000","島根県","901",""
"1979年","33000","岡山県","1448",""
"1979年","34000","広島県","1556",""
"1979年","35000","山口県","1644",""
"1979年","36000","徳島県","1066",""
"1979年","37000","香川県","1053",""
"1979年","38000","愛媛県","1247",""
"1979年","39000","高知県","1015",""
"1979年","40000","福岡県","2400",""
"1979年","41000","佐賀県","708",""
"1979年","42000","長崎県","1255",""
"1979年","43000","熊本県","1825",""
"1979年","44000","大分県","1794",""
"1979年","45000","宮崎県","961",""
"1979年","46000","鹿児島県","1849",""
"1979年","47000","沖縄県","969",""
"1980年","01000","北海道","4793",""
"1980年","02000","青森県","1420",""
"1980年","03000","岩手県","1216",""
"1980年","04000","宮城県","1288",""
"1980年","05000","秋田県","967",""
"1980年","06000","山形県","1234",""
"1980年","07000","福島県","2488",""
"1980年","08000","茨城県","1761",""
"1980年","09000","栃木県","1750",""
"1980年","10000","群馬県","1884",""
"1980年","11000","埼玉県","1031",""
"1980年","12000","千葉県","2426",""
"1980年","13000","東京都","3076",""
"1980年","14000","神奈川県","2797",""
"1980年","15000","新潟県","3978",""
"1980年","16000","富山県","797",""
"1980年","17000","石川県","1275",""
"1980年","18000","福井県","1358",""
"1980年","19000","山梨県","1431",""
"1980年","20000","長野県","3899",""
"1980年","21000","岐阜県","2021",""
"1980年","22000","静岡県","5091",""
"1980年","23000","愛知県","2578",""
"1980年","24000","三重県","2631",""
"1980年","25000","滋賀県","814",""
"1980年","26000","京都府","1586",""
"1980年","27000","大阪府","1893",""
"1980年","28000","兵庫県","2921",""
"1980年","29000","奈良県","691",""
"1980年","30000","和歌山県","1332",""
"1980年","31000","鳥取県","728",""
"1980年","32000","島根県","907",""
"1980年","33000","岡山県","1434",""
"1980年","34000","広島県","1483",""
"1980年","35000","山口県","1645",""
"1980年","36000","徳島県","1090",""
"1980年","37000","香川県","1049",""
"1980年","38000","愛媛県","1243",""
"1980年","39000","高知県","1018",""
"1980年","40000","福岡県","2333",""
"1980年","41000","佐賀県","709",""
"1980年","42000","長崎県","1264",""
"1980年","43000","熊本県","1841",""
"1980年","44000","大分県","1788",""
"1980年","45000","宮崎県","979",""
"1980年","46000","鹿児島県","1887",""
"1980年","47000","沖縄県","978",""
"1981年","01000","北海道","4797",""
"1981年","02000","青森県","1433",""
"1981年","03000","岩手県","1242",""
"1981年","04000","宮城県","1262",""
"1981年","05000","秋田県","988",""
"1981年","06000","山形県","1278",""
"1981年","07000","福島県","2507",""
"1981年","08000","茨城県","1782",""
"1981年","09000","栃木県","1794",""
"1981年","10000","群馬県","1897",""
"1981年","11000","埼玉県","1036",""
"1981年","12000","千葉県","2421",""
"1981年","13000","東京都","3048",""
"1981年","14000","神奈川県","2786",""
"1981年","15000","新潟県","4105",""
"1981年","16000","富山県","788",""
"1981年","17000","石川県","1274",""
"1981年","18000","福井県","1382",""
"1981年","19000","山梨県","1475",""
"1981年","20000","長野県","3964",""
"1981年","21000","岐阜県","2043",""
"1981年","22000","静岡県","5159",""
"1981年","23000","愛知県","2560",""
"1981年","24000","三重県","2657",""
"1981年","25000","滋賀県","824",""
"1981年","26000","京都府","1569",""
"1981年","27000","大阪府","1854",""
"1981年","28000","兵庫県","2958",""
