"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1992年","29000","奈良県","621",""
"1992年","30000","和歌山県","1365",""
"1992年","31000","鳥取県","634",""
"1992年","32000","島根県","788",""
"1992年","33000","岡山県","1241",""
"1992年","34000","広島県","1217",""
"1992年","35000","山口県","1452",""
"1992年","36000","徳島県","952",""
"1992年","37000","香川県","875",""
"1992年","38000","愛媛県","1166",""
"1992年","39000","高知県","774",""
"1992年","40000","福岡県","1746",""
"1992年","41000","佐賀県","573",""
"1992年","42000","長崎県","1055",""
"1992年","43000","熊本県","1797",""
"1992年","44000","大分県","1647",""
"1992年","45000","宮崎県","787",""
"1992年","46000","鹿児島県","1668",""
"1992年","47000","沖縄県","984",""
"1993年","01000","北海道","4411",""
"1993年","02000","青森県","1366",""
"1993年","03000","岩手県","1277",""
"1993年","04000","宮城県","1234",""
"1993年","05000","秋田県","949",""
"1993年","06000","山形県","1282",""
"1993年","07000","福島県","2435",""
"1993年","08000","茨城県","1740",""
"1993年","09000","栃木県","2094",""
"1993年","10000","群馬県","1801",""
"1993年","11000","埼玉県","1095",""
"1993年","12000","千葉県","2299",""
"1993年","13000","東京都","2463",""
"1993年","14000","神奈川県","2469",""
"1993年","15000","新潟県","3908",""
"1993年","16000","富山県","759",""
"1993年","17000","石川県","1215",""
"1993年","18000","福井県","1509",""
"1993年","19000","山梨県","1887",""
"1993年","20000","長野県","4328",""
"1993年","21000","岐阜県","1989",""
"1993年","22000","静岡県","5526",""
"1993年","23000","愛知県","2216",""
"1993年","24000","三重県","2475",""
"1993年","25000","滋賀県","855",""
"1993年","26000","京都府","1317",""
"1993年","27000","大阪府","1548",""
"1993年","28000","兵庫県","2652",""
"1993年","29000","奈良県","607",""
"1993年","30000","和歌山県","1378",""
"1993年","31000","鳥取県","636",""
"1993年","32000","島根県","769",""
"1993年","33000","岡山県","1243",""
"1993年","34000","広島県","1198",""
"1993年","35000","山口県","1418",""
"1993年","36000","徳島県","946",""
"1993年","37000","香川県","868",""
"1993年","38000","愛媛県","1150",""
"1993年","39000","高知県","760",""
"1993年","40000","福岡県","1655",""
"1993年","41000","佐賀県","567",""
"1993年","42000","長崎県","1050",""
"1993年","43000","熊本県","1740",""
"1993年","44000","大分県","1650",""
"1993年","45000","宮崎県","773",""
"1993年","46000","鹿児島県","1629",""
"1993年","47000","沖縄県","994",""
"1994年","01000","北海道","4431",""
"1994年","02000","青森県","1370",""
"1994年","03000","岩手県","1290",""
"1994年","04000","宮城県","1225",""
"1994年","05000","秋田県","940",""
"1994年","06000","山形県","1273",""
"1994年","07000","福島県","2439",""
"1994年","08000","茨城県","1743",""
"1994年","09000","栃木県","2110",""
"1994年","10000","群馬県","1796",""
"1994年","11000","埼玉県","1094",""
"1994年","12000","千葉県","2284",""
"1994年","13000","東京都","2444",""
"1994年","14000","神奈川県","2460",""
"1994年","15000","新潟県","3861",""
"1994年","16000","富山県","762",""
"1994年","17000","石川県","1217",""
"1994年","18000","福井県","1505",""
"1994年","19000","山梨県","1875",""
"1994年","20000","長野県","4306",""
"1994年","21000","岐阜県","1980",""
"1994年","22000","静岡県","5445",""
"1994年","23000","愛知県","2179",""
"1994年","24000","三重県","2424",""
"1994年","25000","滋賀県","853",""
"1994年","26000","京都府","1291",""
"1994年","27000","大阪府","1539",""
"1994年","28000","兵庫県","2628",""
"1994年","29000","奈良県","605",""
"1994年","30000","和歌山県","1391",""
"1994年","31000","鳥取県","619",""
"1994年","32000","島根県","761",""
"1994年","33000","岡山県","1243",""
"1994年","34000","広島県","1191",""
"1994年","35000","山口県","1380",""
"1994年","36000","徳島県","956",""
"1994年","37000","香川県","864",""
"1994年","38000","愛媛県","1155",""
"1994年","39000","高知県","754",""
"1994年","40000","福岡県","1676",""
"1994年","41000","佐賀県","562",""
"1994年","42000","長崎県","1034",""
"1994年","43000","熊本県","1705",""
"1994年","44000","大分県","1652",""
"1994年","45000","宮崎県","719",""
"1994年","46000","鹿児島県","1620",""
"1994年","47000","沖縄県","1015",""
"1995年","01000","北海道","4386",""
"1995年","02000","青森県","1380",""
"1995年","03000","岩手県","1260",""
"1995年","04000","宮城県","1224",""
"1995年","05000","秋田県","937",""
"1995年","06000","山形県","1250",""
"1995年","07000","福島県","2452",""
"1995年","08000","茨城県","1748",""
"1995年","09000","栃木県","2134",""
"1995年","10000","群馬県","1808",""
"1995年","11000","埼玉県","1087",""
"1995年","12000","千葉県","2238",""
"1995年","13000","東京都","2423",""
"1995年","14000","神奈川県","2428",""
"1995年","15000","新潟県","3950",""
"1995年","16000","富山県","767",""
"1995年","17000","石川県","1213",""
"1995年","18000","福井県","1511",""
"1995年","19000","山梨県","1888",""
"1995年","20000","長野県","4280",""
"1995年","21000","岐阜県","1936",""
"1995年","22000","静岡県","5416",""
"1995年","23000","愛知県","2177",""
"1995年","24000","三重県","2377",""
"1995年","25000","滋賀県","846",""
"1995年","26000","京都府","1293",""
"1995年","27000","大阪府","1527",""
"1995年","28000","兵庫県","2584",""
"1995年","29000","奈良県","607",""
"1995年","30000","和歌山県","1388",""
"1995年","31000","鳥取県","617",""
"1995年","32000","島根県","761",""
"1995年","33000","岡山県","1237",""
"1995年","34000","広島県","1196",""
"1995年","35000","山口県","1359",""
"1995年","36000","徳島県","953",""
"1995年","37000","香川県","861",""
"1995年","38000","愛媛県","1144",""
"1995年","39000","高知県","747",""
"1995年","40000","福岡県","1652",""
"1995年","41000","佐賀県","553",""
"1995年","42000","長崎県","1013",""
"1995年","43000","熊本県","1648",""
"1995年","44000","大分県","1673",""
"1995年","45000","宮崎県","719",""
"1995年","46000","鹿児島県","1608",""
"1995年","47000","沖縄県","992",""
"1996年","01000","北海道","4376",""
"1996年","02000","青森県","1370",""
"1996年","03000","岩手県","1258",""
"1996年","04000","宮城県","1222",""
"1996年","05000","秋田県","928",""
"1996年","06000","山形県","1275",""
"1996年","07000","福島県","2452",""
"1996年","08000","茨城県","1730",""
"1996年","09000","栃木県","2160",""
"1996年","10000","群馬県","1801",""
"1996年","11000","埼玉県","1061",""
"1996年","12000","千葉県","2201",""
"1996年","13000","東京都","2397",""
"1996年","14000","神奈川県","2396",""
"1996年","15000","新潟県","3911",""
"1996年","16000","富山県","756",""
"1996年","17000","石川県","1204",""
"1996年","18000","福井県","1509",""
"1996年","19000","山梨県","1893",""
"1996年","20000","長野県","4277",""
"1996年","21000","岐阜県","1927",""
"1996年","22000","静岡県","5417",""
"1996年","23000","愛知県","2142",""
"1996年","24000","三重県","2376",""
"1996年","25000","滋賀県","848",""
"1996年","26000","京都府","1281",""
"1996年","27000","大阪府","1520",""
"1996年","28000","兵庫県","2515",""
"1996年","29000","奈良県","589",""
"1996年","30000","和歌山県","1386",""
"1996年","31000","鳥取県","610",""
"1996年","32000","島根県","755",""
"1996年","33000","岡山県","1218",""
"1996年","34000","広島県","1174",""
"1996年","35000","山口県","1347",""
"1996年","36000","徳島県","941",""
"1996年","37000","香川県","846",""
"1996年","38000","愛媛県","1112",""
"1996年","39000","高知県","732",""
"1996年","40000","福岡県","1622",""
"1996年","41000","佐賀県","545",""
"1996年","42000","長崎県","994",""
"1996年","43000","熊本県","1667",""
"1996年","44000","大分県","1685",""
"1996年","45000","宮崎県","695",""
"1996年","46000","鹿児島県","1610",""
"1996年","47000","沖縄県","999",""
"1997年","01000","北海道","4328",""
"1997年","02000","青森県","1377",""
"1997年","03000","岩手県","1262",""
"1997年","04000","宮城県","1206",""
"1997年","05000","秋田県","917",""
"1997年","06000","山形県","1277",""
"1997年","07000","福島県","2460",""
"1997年","08000","茨城県","1706",""
"1997年","09000","栃木県","2171",""
"1997年","10000","群馬県","1792",""
"1997年","11000","埼玉県","1056",""
"1997年","12000","千葉県","2167",""
"1997年","13000","東京都","2366",""
"1997年","14000","神奈川県","2371",""
"1997年","15000","新潟県","3884",""
"1997年","16000","富山県","690",""
"1997年","17000","石川県","1202",""
"1997年","18000","福井県","1498",""
"1997年","19000","山梨県","1892",""
"1997年","20000","長野県","4249",""
"1997年","21000","岐阜県","1910",""
"1997年","22000","静岡県","5319",""
"1997年","23000","愛知県","2125",""
"1997年","24000","三重県","2368",""
"1997年","25000","滋賀県","838",""
"1997年","26000","京都府","1246",""
"1997年","27000","大阪府","1529",""
"1997年","28000","兵庫県","2461",""
"1997年","29000","奈良県","570",""
"1997年","30000","和歌山県","1388",""
"1997年","31000","鳥取県","604",""
"1997年","32000","島根県","742",""
"1997年","33000","岡山県","1213",""
"1997年","34000","広島県","1167",""
"1997年","35000","山口県","1329",""
"1997年","36000","徳島県","939",""
"1997年","37000","香川県","772",""
"1997年","38000","愛媛県","910",""
"1997年","39000","高知県","728",""
"1997年","40000","福岡県","1580",""
"1997年","41000","佐賀県","539",""
"1997年","42000","長崎県","979",""
"1997年","43000","熊本県","1653",""
"1997年","44000","大分県","1682",""
"1997年","45000","宮崎県","692",""
"1997年","46000","鹿児島県","1612",""
"1997年","47000","沖縄県","1039",""
"1998年","01000","北海道","4171",""
"1998年","02000","青森県","1353",""
"1998年","03000","岩手県","1276",""
"1998年","04000","宮城県","1187",""
"1998年","05000","秋田県","898",""
"1998年","06000","山形県","1258",""
"1998年","07000","福島県","2424",""
"1998年","08000","茨城県","1673",""
"1998年","09000","栃木県","2170",""
"1998年","10000","群馬県","1793",""
"1998年","11000","埼玉県","1030",""
"1998年","12000","千葉県","2107",""
"1998年","13000","東京都","2311",""
"1998年","14000","神奈川県","2326",""
"1998年","15000","新潟県","3839",""
"1998年","16000","富山県","671",""
"1998年","17000","石川県","1190",""
"1998年","18000","福井県","1483",""
"1998年","19000","山梨県","1870",""
"1998年","20000","長野県","4211",""
"1998年","21000","岐阜県","1885",""
"1998年","22000","静岡県","5259",""
"1998年","23000","愛知県","2082",""
"1998年","24000","三重県","2368",""
"1998年","25000","滋賀県","829",""
"1998年","26000","京都府","1209",""
"1998年","27000","大阪府","1523",""
"1998年","28000","兵庫県","2416",""
"1998年","29000","奈良県","577",""
"1998年","30000","和歌山県","1393",""
"1998年","31000","鳥取県","594",""
"1998年","32000","島根県","726",""
"1998年","33000","岡山県","1210",""
"1998年","34000","広島県","1135",""
"1998年","35000","山口県","1316",""
"1998年","36000","徳島県","940",""
"1998年","37000","香川県","754",""
"1998年","38000","愛媛県","900",""
"1998年","39000","高知県","721",""
"1998年","40000","福岡県","1538",""
"1998年","41000","佐賀県","527",""
"1998年","42000","長崎県","970",""
"1998年","43000","熊本県","1639",""
"1998年","44000","大分県","1683",""
"1998年","45000","宮崎県","678",""
"1998年","46000","鹿児島県","1593",""
"1998年","47000","沖縄県","1045",""
"1999年","01000","北海道","4193",""
"1999年","02000","青森県","1345",""
"1999年","03000","岩手県","1268",""
"1999年","04000","宮城県","1158",""
"1999年","05000","秋田県","891",""
"1999年","06000","山形県","1265",""
"1999年","07000","福島県","2381",""
"1999年","08000","茨城県","1645",""
"1999年","09000","栃木県","2167",""
"1999年","10000","群馬県","1752",""
"1999年","11000","埼玉県","1018",""
"1999年","12000","千葉県","2068",""
"1999年","13000","東京都","2279",""
"1999年","14000","神奈川県","2269",""
"1999年","15000","新潟県","3773",""
"1999年","16000","富山県","679",""
"1999年","17000","石川県","1177",""
"1999年","18000","福井県","1461",""
"1999年","19000","山梨県","1846",""
"1999年","20000","長野県","4158",""
"1999年","21000","岐阜県","1864",""
"1999年","22000","静岡県","5202",""
"1999年","23000","愛知県","2019",""
"1999年","24000","三重県","2286",""
"1999年","25000","滋賀県","823",""
"1999年","26000","京都府","1207",""
"1999年","27000","大阪府","1503",""
"1999年","28000","兵庫県","2372",""
"1999年","29000","奈良県","573",""
"1999年","30000","和歌山県","1392",""
"1999年","31000","鳥取県","579",""
"1999年","32000","島根県","718",""
"1999年","33000","岡山県","1204",""
"1999年","34000","広島県","1095",""
"1999年","35000","山口県","1303",""
"1999年","36000","徳島県","941",""
"1999年","37000","香川県","722",""
"1999年","38000","愛媛県","875",""
"1999年","39000","高知県","710",""
"1999年","40000","福岡県","1514",""
"1999年","41000","佐賀県","521",""
"1999年","42000","長崎県","970",""
"1999年","43000","熊本県","1655",""
"1999年","44000","大分県","1683",""
"1999年","45000","宮崎県","671",""
"1999年","46000","鹿児島県","1598",""
"1999年","47000","沖縄県","1042",""
"2000年","01000","北海道","4170",""
"2000年","02000","青森県","1329",""
"2000年","03000","岩手県","1259",""
"2000年","04000","宮城県","1155",""
"2000年","05000","秋田県","888",""
"2000年","06000","山形県","1258",""
"2000年","07000","福島県","2344",""
"2000年","08000","茨城県","1617",""
"2000年","09000","栃木県","2153",""
"2000年","10000","群馬県","1750",""
"2000年","11000","埼玉県","1003",""
"2000年","12000","千葉県","2020",""
"2000年","13000","東京都","2246",""
"2000年","14000","神奈川県","2193",""
"2000年","15000","新潟県","3704",""
"2000年","16000","富山県","661",""
"2000年","17000","石川県","1159",""
"2000年","18000","福井県","1444",""
"2000年","19000","山梨県","1827",""
"2000年","20000","長野県","4075",""
"2000年","21000","岐阜県","1836",""
"2000年","22000","静岡県","5154",""
"2000年","23000","愛知県","1986",""
"2000年","24000","三重県","2265",""
"2000年","25000","滋賀県","810",""
"2000年","26000","京都府","1201",""
"2000年","27000","大阪府","1474",""
"2000年","28000","兵庫県","2332",""
"2000年","29000","奈良県","555",""
"2000年","30000","和歌山県","1379",""
"2000年","31000","鳥取県","573",""
"2000年","32000","島根県","710",""
"2000年","33000","岡山県","1162",""
"2000年","34000","広島県","1085",""
"2000年","35000","山口県","1300",""
"2000年","36000","徳島県","942",""
"2000年","37000","香川県","715",""
"2000年","38000","愛媛県","867",""
"2000年","39000","高知県","695",""
"2000年","40000","福岡県","1492",""
"2000年","41000","佐賀県","513",""
"2000年","42000","長崎県","963",""
"2000年","43000","熊本県","1621",""
"2000年","44000","大分県","1676",""
"2000年","45000","宮崎県","664",""
"2000年","46000","鹿児島県","1589",""
"2000年","47000","沖縄県","1062",""
"2001年","01000","北海道","4101",""
"2001年","02000","青森県","1297",""
"2001年","03000","岩手県","1251",""
"2001年","04000","宮城県","1129",""
"2001年","05000","秋田県","854",""
"2001年","06000","山形県","1230",""
"2001年","07000","福島県","2316",""
"2001年","08000","茨城県","1582",""
"2001年","09000","栃木県","1995",""
"2001年","10000","群馬県","1725",""
"2001年","11000","埼玉県","979",""
"2001年","12000","千葉県","1979",""
"2001年","13000","東京都","2163",""
"2001年","14000","神奈川県","2132",""
"2001年","15000","新潟県","3625",""
"2001年","16000","富山県","659",""
"2001年","17000","石川県","1139",""
"2001年","18000","福井県","1430",""
"2001年","19000","山梨県","1777",""
"2001年","20000","長野県","3976",""
"2001年","21000","岐阜県","1787",""
"2001年","22000","静岡県","5069",""
"2001年","23000","愛知県","1939",""
"2001年","24000","三重県","2209",""
"2001年","25000","滋賀県","791",""
"2001年","26000","京都府","1179",""
"2001年","27000","大阪府","1458",""
"2001年","28000","兵庫県","2256",""
"2001年","29000","奈良県","549",""
"2001年","30000","和歌山県","1382",""
"2001年","31000","鳥取県","555",""
"2001年","32000","島根県","688",""
"2001年","33000","岡山県","1115",""
"2001年","34000","広島県","1053",""
"2001年","35000","山口県","1263",""
"2001年","36000","徳島県","939",""
"2001年","37000","香川県","685",""
"2001年","38000","愛媛県","833",""
"2001年","39000","高知県","659",""
"2001年","40000","福岡県","1431",""
"2001年","41000","佐賀県","498",""
"2001年","42000","長崎県","942",""
"2001年","43000","熊本県","1579",""
"2001年","44000","大分県","1662",""
"2001年","45000","宮崎県","650",""
"2001年","46000","鹿児島県","1512",""
"2001年","47000","沖縄県","1029",""
"2002年","01000","北海道","4045",""
"2002年","02000","青森県","1286",""
"2002年","03000","岩手県","1231",""
"2002年","04000","宮城県","1082",""
"2002年","05000","秋田県","816",""
"2002年","06000","山形県","1214",""
"2002年","07000","福島県","2256",""
"2002年","08000","茨城県","1556",""
"2002年","09000","栃木県","2089",""
"2002年","10000","群馬県","1700",""
"2002年","11000","埼玉県","960",""
"2002年","12000","千葉県","1913",""
"2002年","13000","東京都","2121",""
"2002年","14000","神奈川県","2077",""
"2002年","15000","新潟県","3505",""
"2002年","16000","富山県","643",""
"2002年","17000","石川県","1124",""
"2002年","18000","福井県","1415",""
"2002年","19000","山梨県","1750",""
"2002年","20000","長野県","3924",""
"2002年","21000","岐阜県","1744",""
"2002年","22000","静岡県","4952",""
"2002年","23000","愛知県","1892",""
"2002年","24000","三重県","2176",""
"2002年","25000","滋賀県","776",""
"2002年","26000","京都府","1158",""
"2002年","27000","大阪府","1379",""
"2002年","28000","兵庫県","2205",""
"2002年","29000","奈良県","539",""
"2002年","30000","和歌山県","1365",""
"2002年","31000","鳥取県","553",""
"2002年","32000","島根県","681",""
"2002年","33000","岡山県","1083",""
"2002年","34000","広島県","1027",""
"2002年","35000","山口県","1216",""
"2002年","36000","徳島県","926",""
"2002年","37000","香川県","673",""
"2002年","38000","愛媛県","821",""
"2002年","39000","高知県","646",""
"2002年","40000","福岡県","1393",""
"2002年","41000","佐賀県","489",""
"2002年","42000","長崎県","923",""
"2002年","43000","熊本県","1612",""
"2002年","44000","大分県","1670",""
"2002年","45000","宮崎県","643",""
"2002年","46000","鹿児島県","1473",""
"2002年","47000","沖縄県","1029",""
"2003年","01000","北海道","3989",""
"2003年","02000","青森県","1271",""
"2003年","03000","岩手県","1209",""
"2003年","04000","宮城県","1068",""
"2003年","05000","秋田県","802",""
"2003年","06000","山形県","1177",""
"2003年","07000","福島県","2220",""
"2003年","08000","茨城県","1533",""
"2003年","09000","栃木県","2048",""
"2003年","10000","群馬県","1668",""
"2003年","11000","埼玉県","939",""
"2003年","12000","千葉県","1853",""
"2003年","13000","東京都","2095",""
"2003年","14000","神奈川県","1985",""
"2003年","15000","新潟県","3229",""
"2003年","16000","富山県","623",""
"2003年","17000","石川県","1102",""
"2003年","18000","福井県","1403",""
"2003年","19000","山梨県","1746",""
"2003年","20000","長野県","3829",""
"2003年","21000","岐阜県","1720",""
"2003年","22000","静岡県","4874",""
"2003年","23000","愛知県","1836",""
"2003年","24000","三重県","2165",""
"2003年","25000","滋賀県","740",""
"2003年","26000","京都府","1129",""
"2003年","27000","大阪府","1329",""
"2003年","28000","兵庫県","2127",""
"2003年","29000","奈良県","530",""
"2003年","30000","和歌山県","1310",""
"2003年","31000","鳥取県","551",""
"2003年","32000","島根県","664",""
"2003年","33000","岡山県","1065",""
"2003年","34000","広島県","1000",""
"2003年","35000","山口県","1196",""
"2003年","36000","徳島県","923",""
"2003年","37000","香川県","624",""
"2003年","38000","愛媛県","788",""
"2003年","39000","高知県","629",""
"2003年","40000","福岡県","1368",""
"2003年","41000","佐賀県","475",""
"2003年","42000","長崎県","889",""
"2003年","43000","熊本県","1600",""
"2003年","44000","大分県","1679",""
"2003年","45000","宮崎県","630",""
"2003年","46000","鹿児島県","1455",""
"2003年","47000","沖縄県","1016",""
"2004年","01000","北海道","3896",""
"2004年","02000","青森県","1205",""
"2004年","03000","岩手県","1182",""
"2004年","04000","宮城県","1034",""
"2004年","05000","秋田県","781",""
"2004年","06000","山形県","1164",""
"2004年","07000","福島県","2173",""
"2004年","08000","茨城県","1532",""
"2004年","09000","栃木県","2009",""
"2004年","10000","群馬県","1647",""
"2004年","11000","埼玉県","927",""
"2004年","12000","千葉県","1794",""
"2004年","13000","東京都","2068",""
"2004年","14000","神奈川県","1924",""
"2004年","15000","新潟県","3119",""
"2004年","16000","富山県","611",""
"2004年","17000","石川県","1090",""
"2004年","18000","福井県","1371",""
"2004年","19000","山梨県","1730",""
"2004年","20000","長野県","3783",""
"2004年","21000","岐阜県","1666",""
"2004年","22000","静岡県","4775",""
"2004年","23000","愛知県","1791",""
"2004年","24000","三重県","2152",""
"2004年","25000","滋賀県","720",""
"2004年","26000","京都府","1089",""
"2004年","27000","大阪府","1333",""
"2004年","28000","兵庫県","2060",""
"2004年","29000","奈良県","523",""
"2004年","30000","和歌山県","1268",""
"2004年","31000","鳥取県","540",""
"2004年","32000","島根県","632",""
"2004年","33000","岡山県","1045",""
"2004年","34000","広島県","983",""
"2004年","35000","山口県","1168",""
"2004年","36000","徳島県","914",""
"2004年","37000","香川県","591",""
"2004年","38000","愛媛県","718",""
"2004年","39000","高知県","610",""
"2004年","40000","福岡県","1321",""
"2004年","41000","佐賀県","460",""
"2004年","42000","長崎県","875",""
"2004年","43000","熊本県","1572",""
"2004年","44000","大分県","1577",""
"2004年","45000","宮崎県","601",""
"2004年","46000","鹿児島県","1416",""
"2004年","47000","沖縄県","1000",""
"2005年","01000","北海道","3831",""
"2005年","02000","青森県","1139",""
"2005年","03000","岩手県","1142",""
"2005年","04000","宮城県","1014",""
"2005年","05000","秋田県","764",""
"2005年","06000","山形県","1135",""
"2005年","07000","福島県","2130",""
"2005年","08000","茨城県","1535",""
"2005年","09000","栃木県","1951",""
"2005年","10000","群馬県","1622",""
"2005年","11000","埼玉県","909",""
"2005年","12000","千葉県","1750",""
"2005年","13000","東京都","2042",""
"2005年","14000","神奈川県","1856",""
"2005年","15000","新潟県","3086",""
"2005年","16000","富山県","599",""
"2005年","17000","石川県","1075",""
"2005年","18000","福井県","1358",""
"2005年","19000","山梨県","1694",""
"2005年","20000","長野県","3635",""
"2005年","21000","岐阜県","1627",""
"2005年","22000","静岡県","4542",""
"2005年","23000","愛知県","1764",""
"2005年","24000","三重県","2112",""
"2005年","25000","滋賀県","701",""
"2005年","26000","京都府","1066",""
"2005年","27000","大阪府","1304",""
"2005年","28000","兵庫県","1996",""
"2005年","29000","奈良県","517",""
"2005年","30000","和歌山県","1187",""
"2005年","31000","鳥取県","521",""
"2005年","32000","島根県","617",""
"2005年","33000","岡山県","1011",""
"2005年","34000","広島県","955",""
"2005年","35000","山口県","1147",""
"2005年","36000","徳島県","887",""
"2005年","37000","香川県","582",""
"2005年","38000","愛媛県","703",""
"2005年","39000","高知県","604",""
"2005年","40000","福岡県","1302",""
"2005年","41000","佐賀県","443",""
"2005年","42000","長崎県","849",""
"2005年","43000","熊本県","1528",""
"2005年","44000","大分県","1578",""
"2005年","45000","宮崎県","595",""
"2005年","46000","鹿児島県","1415",""
"2005年","47000","沖縄県","994",""
"2006年","01000","北海道","3718",""
"2006年","02000","青森県","1048",""
"2006年","03000","岩手県","1116",""
"2006年","04000","宮城県","990",""
"2006年","05000","秋田県","756",""
"2006年","06000","山形県","1104",""
"2006年","07000","福島県","2078",""
"2006年","08000","茨城県","1526",""
"2006年","09000","栃木県","1902",""
"2006年","10000","群馬県","1565",""
"2006年","11000","埼玉県","893",""
"2006年","12000","千葉県","1703",""
"2006年","13000","東京都","2018",""
"2006年","14000","神奈川県","1816",""
"2006年","15000","新潟県","2962",""
"2006年","16000","富山県","581",""
"2006年","17000","石川県","968",""
"2006年","18000","福井県","1322",""
"2006年","19000","山梨県","1667",""
"2006年","20000","長野県","3572",""
"2006年","21000","岐阜県","1585",""
"2006年","22000","静岡県","4306",""
"2006年","23000","愛知県","1692",""
"2006年","24000","三重県","2030",""
"2006年","25000","滋賀県","647",""
"2006年","26000","京都府","1025",""
"2006年","27000","大阪府","1311",""
"2006年","28000","兵庫県","1942",""
"2006年","29000","奈良県","510",""
"2006年","30000","和歌山県","1145",""
"2006年","31000","鳥取県","515",""
"2006年","32000","島根県","589",""
"2006年","33000","岡山県","1005",""
"2006年","34000","広島県","950",""
"2006年","35000","山口県","1101",""
"2006年","36000","徳島県","759",""
"2006年","37000","香川県","560",""
"2006年","38000","愛媛県","639",""
"2006年","39000","高知県","594",""
"2006年","40000","福岡県","1250",""
"2006年","41000","佐賀県","440",""
"2006年","42000","長崎県","827",""
"2006年","43000","熊本県","1508",""
"2006年","44000","大分県","1409",""
"2006年","45000","宮崎県","591",""
"2006年","46000","鹿児島県","1395",""
"2006年","47000","沖縄県","927",""
"2007年","01000","北海道","3666",""
"2007年","02000","青森県","1015",""
"2007年","03000","岩手県","1077",""
"2007年","04000","宮城県","982",""
"2007年","05000","秋田県","721",""
"2007年","06000","山形県","1094",""
"2007年","07000","福島県","2047",""
"2007年","08000","茨城県","1509",""
"2007年","09000","栃木県","1847",""
"2007年","10000","群馬県","1565",""
"2007年","11000","埼玉県","880",""
"2007年","12000","千葉県","1665",""
"2007年","13000","東京都","2004",""
"2007年","14000","神奈川県","1763",""
"2007年","15000","新潟県","2956",""
"2007年","16000","富山県","560",""
"2007年","17000","石川県","953",""
"2007年","18000","福井県","1285",""
"2007年","19000","山梨県","1616",""
"2007年","20000","長野県","3482",""
"2007年","21000","岐阜県","1501",""
"2007年","22000","静岡県","4199",""
"2007年","23000","愛知県","1645",""
"2007年","24000","三重県","1998",""
"2007年","25000","滋賀県","606",""
"2007年","26000","京都府","1009",""
"2007年","27000","大阪府","1316",""
"2007年","28000","兵庫県","1907",""
"2007年","29000","奈良県","498",""
"2007年","30000","和歌山県","1050",""
"2007年","31000","鳥取県","505",""
"2007年","32000","島根県","574",""
"2007年","33000","岡山県","994",""
"2007年","34000","広島県","919",""
"2007年","35000","山口県","1073",""
"2007年","36000","徳島県","743",""
"2007年","37000","香川県","552",""
"2007年","38000","愛媛県","620",""
"2007年","39000","高知県","587",""
"2007年","40000","福岡県","1224",""
"2007年","41000","佐賀県","430",""
"2007年","42000","長崎県","812",""
"2007年","43000","熊本県","1506",""
"2007年","44000","大分県","1422",""
"2007年","45000","宮崎県","566",""
"2007年","46000","鹿児島県","1397",""
"2007年","47000","沖縄県","947",""
"2008年","01000","北海道","3556",""
"2008年","02000","青森県","972",""
"2008年","03000","岩手県","1046",""
"2008年","04000","宮城県","976",""
"2008年","05000","秋田県","699",""
"2008年","06000","山形県","1073",""
"2008年","07000","福島県","1989",""
"2008年","08000","茨城県","1470",""
"2008年","09000","栃木県","1772",""
"2008年","10000","群馬県","1479",""
"2008年","11000","埼玉県","876",""
"2008年","12000","千葉県","1643",""
"2008年","13000","東京都","1999",""
"2008年","14000","神奈川県","1719",""
"2008年","15000","新潟県","2807",""
"2008年","16000","富山県","552",""
"2008年","17000","石川県","944",""
"2008年","18000","福井県","1242",""
"2008年","19000","山梨県","1586",""
"2008年","20000","長野県","3442",""
"2008年","21000","岐阜県","1471",""
"2008年","22000","静岡県","4107",""
"2008年","23000","愛知県","1594",""
"2008年","24000","三重県","1969",""
"2008年","25000","滋賀県","569",""
"2008年","26000","京都府","990",""
"2008年","27000","大阪府","1305",""
"2008年","28000","兵庫県","1879",""
"2008年","29000","奈良県","490",""
"2008年","30000","和歌山県","976",""
"2008年","31000","鳥取県","505",""
"2008年","32000","島根県","557",""
"2008年","33000","岡山県","968",""
"2008年","34000","広島県","872",""
"2008年","35000","山口県","1047",""
"2008年","36000","徳島県","735",""
"2008年","37000","香川県","526",""
"2008年","38000","愛媛県","602",""
"2008年","39000","高知県","577",""
"2008年","40000","福岡県","1206",""
"2008年","41000","佐賀県","425",""
"2008年","42000","長崎県","806",""
"2008年","43000","熊本県","1469",""
"2008年","44000","大分県","1372",""
"2008年","45000","宮崎県","556",""
"2008年","46000","鹿児島県","1382",""
"2008年","47000","沖縄県","940",""
"2009年","01000","北海道","3504",""
"2009年","02000","青森県","958",""
"2009年","03000","岩手県","1023",""
"2009年","04000","宮城県","960",""
"2009年","05000","秋田県","682",""
"2009年","06000","山形県","1050",""
"2009年","07000","福島県","1951",""
"2009年","08000","茨城県","1441",""
"2009年","09000","栃木県","1674",""
"2009年","10000","群馬県","1420",""
"2009年","11000","埼玉県","855",""
"2009年","12000","千葉県","1615",""
"2009年","13000","東京都","1981",""
"2009年","14000","神奈川県","1678",""
"2009年","15000","新潟県","2744",""
"2009年","16000","富山県","537",""
"2009年","17000","石川県","931",""
"2009年","18000","福井県","1219",""
"2009年","19000","山梨県","1555",""
"2009年","20000","長野県","3367",""
"2009年","21000","岐阜県","1427",""
"2009年","22000","静岡県","4028",""
