"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2017年","10000","群馬県","3516114","","736049","","269348","","201433","","446277","","671061","","31000","","743008",""
"2017年","11000","埼玉県","12718073","","3416837","","1904194","","541232","","1110791","","1495842","","195158","","2557564",""
"2017年","12000","千葉県","13290785","","3290570","","1553049","","747112","","1331968","","2055613","","181565","","2439227",""
"2017年","13000","東京都","82799561","","15831835","","20252793","","12914350","","5408779","","10003671","","1102949","","6429798",""
"2017年","14000","神奈川県","19961451","","4747354","","3039412","","1756670","","1799839","","2430159","","297173","","3651051",""
"2017年","15000","新潟県","4048454","","828718","","336392","","271034","","476586","","749572","","51851","","933505",""
"2017年","16000","富山県","1795477","","329191","","172089","","107743","","153285","","159965","","18400","","521866",""
"2017年","17000","石川県","2203727","","460299","","269426","","152191","","349517","","245318","","24490","","450722",""
"2017年","18000","福井県","1313311","","266125","","113898","","110832","","150241","","136112","","13189","","365647",""
"2017年","19000","山梨県","1344069","","208087","","91940","","62575","","241776","","267916","","20529","","285482",""
"2017年","20000","長野県","3396630","","561453","","399464","","212658","","475942","","394149","","41016","","972320",""
"2017年","21000","岐阜県","3249773","","635528","","338501","","172295","","421625","","446073","","47920","","907429",""
"2017年","22000","静岡県","7125142","","1554936","","945991","","471952","","899458","","884852","","138223","","1383782",""
"2017年","23000","愛知県","19202602","","4702696","","3113245","","1617368","","1648073","","2341873","","205894","","3163509",""
"2017年","24000","三重県","3563100","","829936","","284753","","181193","","439888","","680334","","36482","","699816",""
"2017年","25000","滋賀県","2103910","","464870","","247850","","112598","","244698","","250991","","29890","","529370",""
"2017年","26000","京都府","4697210","","885121","","637335","","249330","","606478","","433656","","77803","","1321159",""
"2017年","27000","大阪府","27176491","","5701452","","5515428","","2383039","","2147605","","3581793","","284576","","4351099",""
"2017年","28000","兵庫県","11428597","","3077535","","1407069","","767253","","1068585","","1449183","","155446","","2298696",""
"2017年","29000","奈良県","1516050","","222828","","179233","","80206","","234375","","205930","","27820","","426208",""
"2017年","30000","和歌山県","1444044","","276998","","94402","","75272","","143486","","155340","","26452","","516621",""
"2017年","31000","鳥取県","958343","","173696","","75909","","35566","","115918","","211702","","5205","","245207",""
"2017年","32000","島根県","1209052","","136819","","109258","","44721","","103243","","228490","","15745","","434175",""
"2017年","33000","岡山県","3856457","","1103452","","392496","","260165","","310484","","410226","","59753","","922092",""
"2017年","34000","広島県","5713971","","1256918","","777390","","462589","","458117","","612333","","80275","","1315657",""
"2017年","35000","山口県","2433464","","654643","","162088","","176703","","217173","","389336","","19435","","623929",""
"2017年","36000","徳島県","1113774","","214954","","86194","","53748","","139546","","173569","","11134","","330301",""
"2017年","37000","香川県","1950666","","490130","","192597","","241501","","164164","","259482","","17093","","414009",""
"2017年","38000","愛媛県","2197759","","566465","","176830","","145067","","234293","","226799","","16773","","592466",""
"2017年","39000","高知県","1073779","","131425","","109221","","64889","","151619","","128437","","9476","","371695",""
"2017年","40000","福岡県","11844026","","2637424","","1732367","","1074284","","1079458","","1591738","","117842","","2363290",""
"2017年","41000","佐賀県","1381203","","320199","","80121","","40021","","168441","","315257","","10669","","357674",""
"2017年","42000","長崎県","1868006","","221664","","132671","","111221","","285911","","280892","","23613","","622302",""
"2017年","43000","熊本県","2836825","","363188","","331983","","120423","","285787","","493667","","26925","","955967",""
"2017年","44000","大分県","1646467","","352584","","182336","","119041","","205579","","129613","","16387","","490778",""
"2017年","45000","宮崎県","1577885","","252716","","134447","","88875","","172664","","272071","","13930","","543057",""
"2017年","46000","鹿児島県","2366446","","369536","","239478","","147235","","302721","","267212","","20990","","825420",""
"2017年","47000","沖縄県","2025025","","264161","","307221","","180840","","313509","","263291","","19816","","526216",""
