"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2012年","46000","鹿児島県","2134492","","522418","","220996","","93893","","237694","","335967","","13629","","544865",""
"2012年","47000","沖縄県","1746789","","258170","","247220","","113240","","382148","","179377","","18947","","368748",""
"2013年","01000","北海道","9799127","","1638708","","1292099","","550766","","938511","","1958325","","71327","","2363408",""
"2013年","02000","青森県","1983353","","335710","","186487","","128327","","181310","","413130","","13326","","484057",""
"2013年","03000","岩手県","2124036","","536587","","210550","","126957","","189403","","328877","","17498","","511422",""
"2013年","04000","宮城県","4818967","","836979","","808879","","353925","","508204","","841282","","54516","","823831",""
"2013年","05000","秋田県","1466181","","222982","","124090","","71669","","127660","","275700","","11101","","479089",""
"2013年","06000","山形県","1684744","","310278","","127372","","95628","","167379","","321206","","18366","","435938",""
"2013年","07000","福島県","3078210","","403003","","328942","","193952","","307048","","720951","","25461","","692461",""
"2013年","08000","茨城県","5312391","","1138046","","392349","","442311","","384864","","1072256","","51727","","1136453",""
"2013年","09000","栃木県","3530719","","640389","","313703","","155100","","332758","","772896","","49394","","823433",""
"2013年","10000","群馬県","3581816","","656225","","275602","","169857","","327766","","928029","","27134","","834672",""
"2013年","11000","埼玉県","12369795","","3096866","","1545066","","554245","","945533","","2170409","","175918","","2334824",""
"2013年","12000","千葉県","12194184","","2993322","","1490801","","589412","","1133254","","2281688","","160772","","2007095",""
"2013年","13000","東京都","72206582","","15110750","","16229135","","10804374","","4772140","","9132929","","951132","","5445774",""
"2013年","14000","神奈川県","18404847","","4009167","","2984803","","1248786","","1674521","","2851330","","266781","","3207305",""
"2013年","15000","新潟県","4030490","","840367","","375125","","218524","","543147","","725549","","72245","","821974",""
"2013年","16000","富山県","1757949","","237981","","193986","","102573","","178321","","293988","","14291","","511452",""
"2013年","17000","石川県","2053276","","281252","","204376","","119741","","259171","","355203","","32158","","589637",""
"2013年","18000","福井県","1535632","","303298","","127939","","108366","","123237","","318854","","11892","","342224",""
"2013年","19000","山梨県","1471874","","298521","","108487","","58405","","206363","","335614","","16307","","296074",""
"2013年","20000","長野県","3578122","","586244","","397156","","171866","","575176","","593223","","49386","","885502",""
"2013年","21000","岐阜県","3406016","","596803","","256067","","179059","","415587","","758979","","54908","","830573",""
"2013年","22000","静岡県","7402636","","1730454","","861034","","461950","","758576","","1280741","","128178","","1365346",""
"2013年","23000","愛知県","17580558","","3656075","","2510367","","1406355","","1565151","","2927174","","224818","","2866921",""
"2013年","24000","三重県","3451537","","890915","","334047","","199042","","366899","","536500","","31376","","738865",""
"2013年","25000","滋賀県","2138051","","463343","","293294","","182906","","206324","","330400","","27883","","429789",""
"2013年","26000","京都府","5091582","","812534","","699568","","258447","","669301","","927762","","68885","","1136348",""
"2013年","27000","大阪府","24830401","","4889015","","5011490","","2074249","","2033932","","3442428","","265269","","4066632",""
"2013年","28000","兵庫県","10964748","","2620417","","1409154","","621111","","1110525","","1425091","","151759","","2383508",""
"2013年","29000","奈良県","1763536","","209859","","171998","","89676","","188125","","383053","","37563","","564392",""
"2013年","30000","和歌山県","1312906","","224162","","122868","","122611","","191246","","173725","","22775","","332121",""
"2013年","31000","鳥取県","934953","","128858","","92426","","48309","","102140","","140842","","7446","","342640",""
"2013年","32000","島根県","1015818","","145141","","135399","","48997","","99550","","120507","","14263","","363823",""
"2013年","33000","岡山県","3340074","","867828","","352410","","248051","","265497","","465028","","49923","","751211",""
"2013年","34000","広島県","5557068","","1204270","","710047","","399196","","556378","","762815","","58695","","1286082",""
"2013年","35000","山口県","2401656","","650437","","175675","","154755","","194876","","375998","","31445","","643477",""
"2013年","36000","徳島県","1281785","","184319","","94366","","67725","","109615","","265470","","8255","","476687",""
"2013年","37000","香川県","1818295","","360564","","146649","","168639","","168015","","348092","","24964","","444482",""
"2013年","38000","愛媛県","2340340","","619801","","199159","","142321","","233470","","357823","","15743","","567133",""
"2013年","39000","高知県","1113520","","110225","","68736","","56717","","91009","","268221","","9897","","452164",""
"2013年","40000","福岡県","10294345","","1914055","","1461201","","921190","","904676","","1467738","","131472","","2466312",""
"2013年","41000","佐賀県","1220423","","309394","","78382","","41233","","116617","","262790","","9584","","316946",""
"2013年","42000","長崎県","2038817","","231144","","139055","","132790","","213486","","566276","","24359","","527659",""
