"時点","地域コード","地域","出生率（人口千対）","注記"
"2010年","32000","島根県","8.1",""
"2010年","33000","岡山県","8.7",""
"2010年","34000","広島県","9.0",""
"2010年","35000","山口県","8.0",""
"2010年","36000","徳島県","7.6",""
"2010年","37000","香川県","8.5",""
"2010年","38000","愛媛県","8.0",""
"2010年","39000","高知県","7.2",""
"2010年","40000","福岡県","9.3",""
"2010年","41000","佐賀県","9.0",""
"2010年","42000","長崎県","8.5",""
"2010年","43000","熊本県","9.0",""
"2010年","44000","大分県","8.5",""
"2010年","45000","宮崎県","9.0",""
"2010年","46000","鹿児島県","8.9",""
"2010年","47000","沖縄県","12.3",""
"2011年","01000","北海道","7.2",""
"2011年","02000","青森県","7.0",""
"2011年","03000","岩手県","7.1",""
"2011年","04000","宮城県","7.8",""
"2011年","05000","秋田県","6.2",""
"2011年","06000","山形県","7.4",""
"2011年","07000","福島県","7.6",""
"2011年","08000","茨城県","8.0",""
"2011年","09000","栃木県","8.1",""
"2011年","10000","群馬県","8.0",""
"2011年","11000","埼玉県","8.2",""
"2011年","12000","千葉県","8.2",""
"2011年","13000","東京都","8.2",""
"2011年","14000","神奈川県","8.5",""
"2011年","15000","新潟県","7.5",""
"2011年","16000","富山県","7.3",""
"2011年","17000","石川県","8.3",""
"2011年","18000","福井県","8.5",""
"2011年","19000","山梨県","7.6",""
"2011年","20000","長野県","8.0",""
"2011年","21000","岐阜県","8.3",""
"2011年","22000","静岡県","8.4",""
"2011年","23000","愛知県","9.5",""
"2011年","24000","三重県","8.3",""
"2011年","25000","滋賀県","9.6",""
"2011年","26000","京都府","8.0",""
"2011年","27000","大阪府","8.5",""
"2011年","28000","兵庫県","8.6",""
"2011年","29000","奈良県","7.5",""
"2011年","30000","和歌山県","7.5",""
"2011年","31000","鳥取県","8.5",""
"2011年","32000","島根県","7.9",""
"2011年","33000","岡山県","8.7",""
"2011年","34000","広島県","9.0",""
"2011年","35000","山口県","7.8",""
"2011年","36000","徳島県","7.6",""
"2011年","37000","香川県","8.4",""
"2011年","38000","愛媛県","8.0",""
"2011年","39000","高知県","6.9",""
"2011年","40000","福岡県","9.2",""
"2011年","41000","佐賀県","9.0",""
"2011年","42000","長崎県","8.3",""
"2011年","43000","熊本県","8.9",""
"2011年","44000","大分県","8.4",""
"2011年","45000","宮崎県","9.0",""
"2011年","46000","鹿児島県","9.0",""
"2011年","47000","沖縄県","12.1",""
"2012年","01000","北海道","7.1",""
"2012年","02000","青森県","6.8",""
"2012年","03000","岩手県","7.1",""
"2012年","04000","宮城県","8.1",""
"2012年","05000","秋田県","6.2",""
"2012年","06000","山形県","7.2",""
"2012年","07000","福島県","7.0",""
"2012年","08000","茨城県","7.9",""
"2012年","09000","栃木県","8.1",""
"2012年","10000","群馬県","7.6",""
"2012年","11000","埼玉県","8.0",""
"2012年","12000","千葉県","8.0",""
"2012年","13000","東京都","8.3",""
"2012年","14000","神奈川県","8.4",""
"2012年","15000","新潟県","7.5",""
"2012年","16000","富山県","7.4",""
"2012年","17000","石川県","8.3",""
"2012年","18000","福井県","8.5",""
"2012年","19000","山梨県","7.5",""
"2012年","20000","長野県","7.9",""
"2012年","21000","岐阜県","8.1",""
"2012年","22000","静岡県","8.4",""
"2012年","23000","愛知県","9.3",""
"2012年","24000","三重県","8.1",""
"2012年","25000","滋賀県","9.5",""
"2012年","26000","京都府","7.8",""
"2012年","27000","大阪府","8.4",""
"2012年","28000","兵庫県","8.4",""
"2012年","29000","奈良県","7.7",""
"2012年","30000","和歌山県","7.6",""
"2012年","31000","鳥取県","8.3",""
"2012年","32000","島根県","8.0",""
"2012年","33000","岡山県","8.5",""
"2012年","34000","広島県","8.8",""
"2012年","35000","山口県","7.6",""
"2012年","36000","徳島県","7.4",""
"2012年","37000","香川県","8.3",""
"2012年","38000","愛媛県","7.9",""
"2012年","39000","高知県","7.0",""
"2012年","40000","福岡県","9.1",""
"2012年","41000","佐賀県","8.9",""
"2012年","42000","長崎県","8.4",""
"2012年","43000","熊本県","8.9",""
"2012年","44000","大分県","8.2",""
"2012年","45000","宮崎県","8.8",""
"2012年","46000","鹿児島県","8.8",""
"2012年","47000","沖縄県","12.2",""
"2013年","01000","北海道","7.1",""
"2013年","02000","青森県","6.8",""
"2013年","03000","岩手県","7.2",""
"2013年","04000","宮城県","8.2",""
"2013年","05000","秋田県","5.9",""
"2013年","06000","山形県","7.2",""
"2013年","07000","福島県","7.5",""
"2013年","08000","茨城県","7.7",""
"2013年","09000","栃木県","7.9",""
"2013年","10000","群馬県","7.6",""
"2013年","11000","埼玉県","8.1",""
"2013年","12000","千葉県","7.9",""
"2013年","13000","東京都","8.5",""
"2013年","14000","神奈川県","8.3",""
"2013年","15000","新潟県","7.4",""
"2013年","16000","富山県","7.3",""
"2013年","17000","石川県","8.2",""
"2013年","18000","福井県","8.2",""
"2013年","19000","山梨県","7.4",""
"2013年","20000","長野県","7.8",""
"2013年","21000","岐阜県","7.9",""
"2013年","22000","静岡県","8.2",""
"2013年","23000","愛知県","9.2",""
"2013年","24000","三重県","8.1",""
"2013年","25000","滋賀県","9.3",""
"2013年","26000","京都府","7.8",""
"2013年","27000","大阪府","8.3",""
"2013年","28000","兵庫県","8.3",""
"2013年","29000","奈良県","7.4",""
"2013年","30000","和歌山県","7.3",""
"2013年","31000","鳥取県","8.3",""
"2013年","32000","島根県","7.9",""
"2013年","33000","岡山県","8.5",""
"2013年","34000","広島県","8.8",""
"2013年","35000","山口県","7.6",""
"2013年","36000","徳島県","7.4",""
"2013年","37000","香川県","8.2",""
"2013年","38000","愛媛県","7.7",""
"2013年","39000","高知県","7.1",""
"2013年","40000","福岡県","9.1",""
"2013年","41000","佐賀県","8.7",""
"2013年","42000","長崎県","8.3",""
"2013年","43000","熊本県","8.9",""
"2013年","44000","大分県","8.2",""
"2013年","45000","宮崎県","8.8",""
"2013年","46000","鹿児島県","8.7",""
"2013年","47000","沖縄県","12.2",""
"2014年","01000","北海道","6.9",""
"2014年","02000","青森県","6.7",""
"2014年","03000","岩手県","6.9",""
"2014年","04000","宮城県","7.8",""
"2014年","05000","秋田県","5.8",""
"2014年","06000","山形県","7.1",""
"2014年","07000","福島県","7.5",""
"2014年","08000","茨城県","7.6",""
"2014年","09000","栃木県","7.9",""
"2014年","10000","群馬県","7.5",""
"2014年","11000","埼玉県","7.8",""
"2014年","12000","千葉県","7.6",""
"2014年","13000","東京都","8.5",""
"2014年","14000","神奈川県","8.1",""
"2014年","15000","新潟県","7.2",""
"2014年","16000","富山県","7.1",""
"2014年","17000","石川県","7.8",""
"2014年","18000","福井県","7.9",""
"2014年","19000","山梨県","7.3",""
"2014年","20000","長野県","7.6",""
"2014年","21000","岐阜県","7.5",""
"2014年","22000","静岡県","7.9",""
"2014年","23000","愛知県","8.9",""
"2014年","24000","三重県","7.7",""
"2014年","25000","滋賀県","9.1",""
"2014年","26000","京都府","7.6",""
"2014年","27000","大阪府","8.1",""
"2014年","28000","兵庫県","8.1",""
"2014年","29000","奈良県","7.0",""
"2014年","30000","和歌山県","7.4",""
"2014年","31000","鳥取県","7.9",""
"2014年","32000","島根県","7.7",""
"2014年","33000","岡山県","8.3",""
"2014年","34000","広島県","8.5",""
"2014年","35000","山口県","7.3",""
"2014年","36000","徳島県","7.2",""
"2014年","37000","香川県","8.0",""
"2014年","38000","愛媛県","7.5",""
"2014年","39000","高知県","6.8",""
"2014年","40000","福岡県","9.0",""
"2014年","41000","佐賀県","8.6",""
"2014年","42000","長崎県","8.2",""
"2014年","43000","熊本県","8.7",""
"2014年","44000","大分県","8.0",""
"2014年","45000","宮崎県","8.6",""
"2014年","46000","鹿児島県","8.6",""
"2014年","47000","沖縄県","11.6",""
"2015年","01000","北海道","6.8",""
"2015年","02000","青森県","6.6",""
"2015年","03000","岩手県","6.9",""
"2015年","04000","宮城県","7.8",""
"2015年","05000","秋田県","5.7",""
"2015年","06000","山形県","7.0",""
"2015年","07000","福島県","7.5",""
"2015年","08000","茨城県","7.5",""
"2015年","09000","栃木県","7.9",""
"2015年","10000","群馬県","7.4",""
"2015年","11000","埼玉県","7.8",""
"2015年","12000","千葉県","7.7",""
"2015年","13000","東京都","8.6",""
"2015年","14000","神奈川県","8.2",""
"2015年","15000","新潟県","7.1",""
"2015年","16000","富山県","7.2",""
"2015年","17000","石川県","7.9",""
"2015年","18000","福井県","8.0",""
"2015年","19000","山梨県","7.3",""
"2015年","20000","長野県","7.5",""
"2015年","21000","岐阜県","7.7",""
"2015年","22000","静岡県","7.8",""
"2015年","23000","愛知県","9.0",""
"2015年","24000","三重県","7.8",""
"2015年","25000","滋賀県","9.1",""
"2015年","26000","京都府","7.7",""
"2015年","27000","大阪府","8.1",""
"2015年","28000","兵庫県","8.1",""
"2015年","29000","奈良県","7.3",""
"2015年","30000","和歌山県","7.3",""
"2015年","31000","鳥取県","8.1",""
"2015年","32000","島根県","8.1",""
"2015年","33000","岡山県","8.2",""
"2015年","34000","広島県","8.4",""
"2015年","35000","山口県","7.4",""
"2015年","36000","徳島県","7.4",""
"2015年","37000","香川県","8.0",""
"2015年","38000","愛媛県","7.4",""
"2015年","39000","高知県","7.0",""
"2015年","40000","福岡県","9.0",""
"2015年","41000","佐賀県","8.5",""
"2015年","42000","長崎県","8.0",""
"2015年","43000","熊本県","8.8",""
"2015年","44000","大分県","7.9",""
"2015年","45000","宮崎県","8.4",""
"2015年","46000","鹿児島県","8.6",""
"2015年","47000","沖縄県","11.9",""
"2016年","352","アイスランド","12.0",""
"2016年","372","アイルランド","13.4",""
"2016年","031","アゼルバイジャン","16.3",""
"2016年","840","アメリカ合衆国","12.2",""
"2016年","784","アラブ首長国連邦","...","数字が得られないもの。"
"2016年","012","アルジェリア","26.1",""
"2016年","032","アルゼンチン","16.7",""
"2016年","887","イエメン","...","数字が得られないもの。"
"2016年","826","イギリス","11.8",""
"2016年","376","イスラエル","21.2",""
"2016年","380","イタリア","7.8",""
"2016年","368","イラク","...","数字が得られないもの。"
"2016年","364","イラン","19.1",""
"2016年","356","インド","20.4",""
"2016年","804","ウクライナ","9.3",""
"2016年","860","ウズベキスタン","22.8",""
"2016年","218","エクアドル","...","数字が得られないもの。"
"2016年","818","エジプト","28.6",""
"2016年","233","エストニア","10.7",""
"2016年","512","オマーン","...","数字が得られないもの。"
"2016年","528","オランダ","10.1",""
"2016年","036","オーストラリア","12.9",""
"2016年","040","オーストリア","10.0",""
"2016年","398","カザフスタン","22.5",""
"2016年","634","カタール","10.2",""
"2016年","124","カナダ","10.6",""
"2016年","192","キューバ","10.4",""
"2016年","300","ギリシャ","8.6",""
"2016年","414","クウェート","15.0",""
"2016年","320","グアテマラ","24.7",""
"2016年","404","ケニア","...","数字が得られないもの。"
"2016年","188","コスタリカ","14.3",""
"2016年","170","コロンビア","...","数字が得られないもの。"
"2016年","384","コートジボワール","...","数字が得られないもの。"
"2016年","682","サウジアラビア","14.1",""
"2016年","702","シンガポール","10.5",""
"2016年","756","スイス","10.5",""
"2016年","752","スウェーデン","11.8",""
"2016年","724","スペイン","8.8",""
"2016年","144","スリランカ","15.6","暫定値。"
"2016年","703","スロバキア","10.6",""
"2016年","705","スロベニア","9.9",""
"2016年","688","セルビア","9.2",""
"2016年","764","タイ","...","数字が得られないもの。"
"2016年","203","チェコ","10.7",""
"2016年","788","チュニジア","19.4",""
"2016年","152","チリ","12.8",""
"2016年","208","デンマーク","10.8",""
"2016年","792","トルコ","16.5",""
"2016年","276","ドイツ","9.6",""
"2016年","214","ドミニカ共和国","...","数字が得られないもの。"
"2016年","554","ニュージーランド","12.7",""
"2016年","578","ノルウェー","11.3",""
"2016年","348","ハンガリー","9.7",""
"2016年","050","バングラデシュ","...","数字が得られないもの。"
"2016年","591","パナマ","18.6",""
"2016年","608","フィリピン","16.9",""
"2016年","246","フィンランド","9.6",""
"2016年","250","フランス","11.5",""
"2016年","076","ブラジル","14.1",""
"2016年","100","ブルガリア","9.1",""
"2016年","704","ベトナム","",""
"2016年","862","ベネズエラ","...","数字が得られないもの。"
"2016年","112","ベラルーシ","12.4",""
"2016年","056","ベルギー","10.8",""
"2016年","604","ペルー","...","数字が得られないもの。"
"2016年","068","ボリビア","...","数字が得られないもの。"
"2016年","620","ポルトガル","8.4",""
"2016年","616","ポーランド","10.1",""
"2016年","458","マレーシア","16.1",""
"2016年","104","ミャンマー","...","数字が得られないもの。"
"2016年","484","メキシコ","16.5",""
"2016年","504","モロッコ","",""
"2016年","428","ラトビア","11.2",""
"2016年","440","リトアニア","10.7",""
"2016年","442","ルクセンブルク","10.4",""
"2016年","642","ルーマニア","10.4",""
"2016年","643","ロシア","",""
"2016年","156","中国","13.0",""
"2016年","710","南アフリカ","16.1",""
"2016年","392","日本","7.8","厚生労働省「人口動態調査」による。"
"2016年","410","韓国","7.9",""
"2016年","344","香港","8.3",""
"2016年","01000","北海道","6.6",""
"2016年","02000","青森県","6.7",""
"2016年","03000","岩手県","6.6",""
"2016年","04000","宮城県","7.5",""
"2016年","05000","秋田県","5.6",""
"2016年","06000","山形県","6.8",""
"2016年","07000","福島県","7.3",""
"2016年","08000","茨城県","7.3",""
"2016年","09000","栃木県","7.5",""
"2016年","10000","群馬県","7.1",""
"2016年","11000","埼玉県","7.6",""
"2016年","12000","千葉県","7.4",""
"2016年","13000","東京都","8.5",""
"2016年","14000","神奈川県","7.9",""
"2016年","15000","新潟県","6.9",""
"2016年","16000","富山県","7.0",""
"2016年","17000","石川県","7.8",""
"2016年","18000","福井県","7.9",""
"2016年","19000","山梨県","7.1",""
"2016年","20000","長野県","7.4",""
"2016年","21000","岐阜県","7.5",""
"2016年","22000","静岡県","7.6",""
"2016年","23000","愛知県","8.8",""
"2016年","24000","三重県","7.5",""
"2016年","25000","滋賀県","8.7",""
"2016年","26000","京都府","7.6",""
"2016年","27000","大阪府","7.9",""
"2016年","28000","兵庫県","8.0",""
"2016年","29000","奈良県","7.0",""
"2016年","30000","和歌山県","7.0",""
"2016年","31000","鳥取県","7.8",""
"2016年","32000","島根県","7.7",""
"2016年","33000","岡山県","8.2",""
"2016年","34000","広島県","8.1",""
"2016年","35000","山口県","7.1",""
"2016年","36000","徳島県","7.2",""
"2016年","37000","香川県","7.8",""
"2016年","38000","愛媛県","7.3",""
"2016年","39000","高知県","6.7",""
"2016年","40000","福岡県","8.7",""
"2016年","41000","佐賀県","8.3",""
"2016年","42000","長崎県","8.0",""
"2016年","43000","熊本県","8.4",""
"2016年","44000","大分県","7.9",""
"2016年","45000","宮崎県","8.2",""
"2016年","46000","鹿児島県","8.4",""
"2016年","47000","沖縄県","11.6",""
"2017年","352","アイスランド","11.9",""
"2017年","372","アイルランド","12.9",""
"2017年","031","アゼルバイジャン","14.6",""
"2017年","840","アメリカ合衆国","11.8",""
"2017年","784","アラブ首長国連邦","10.5",""
"2017年","012","アルジェリア","25.4",""
"2017年","032","アルゼンチン","16.0",""
"2017年","887","イエメン","...","数字が得られないもの。"
"2017年","826","イギリス","11.4",""
"2017年","376","イスラエル","21.1",""
"2017年","380","イタリア","7.6",""
"2017年","368","イラク","...","数字が得られないもの。"
"2017年","364","イラン","18.4",""
"2017年","356","インド","20.2",""
"2017年","804","ウクライナ","8.6",""
"2017年","860","ウズベキスタン","22.1",""
"2017年","218","エクアドル","...","数字が得られないもの。"
"2017年","818","エジプト","26.9",""
"2017年","233","エストニア","10.5",""
"2017年","512","オマーン","19.8",""
"2017年","528","オランダ","9.9",""
"2017年","036","オーストラリア","12.6",""
"2017年","040","オーストリア","10.0",""
"2017年","398","カザフスタン","21.6",""
"2017年","634","カタール","10.2",""
"2017年","124","カナダ","10.3",""
"2017年","192","キューバ","10.2",""
"2017年","300","ギリシャ","8.2",""
"2017年","414","クウェート","14.5",""
"2017年","320","グアテマラ","23.7",""
"2017年","404","ケニア","...","数字が得られないもの。"
"2017年","188","コスタリカ","13.9",""
"2017年","170","コロンビア","...","数字が得られないもの。"
"2017年","384","コートジボワール","...","数字が得られないもの。"
"2017年","682","サウジアラビア","15.0",""
"2017年","702","シンガポール","10.0",""
"2017年","756","スイス","10.3",""
"2017年","752","スウェーデン","11.5",""
"2017年","724","スペイン","8.4",""
"2017年","144","スリランカ","15.2","暫定値。"
"2017年","703","スロバキア","10.7",""
"2017年","705","スロベニア","9.8",""
"2017年","688","セルビア","9.2",""
"2017年","764","タイ","...","数字が得られないもの。"
"2017年","203","チェコ","10.8",""
"2017年","788","チュニジア","18.2",""
"2017年","152","チリ","11.9",""
"2017年","208","デンマーク","10.7",""
"2017年","792","トルコ","16.2",""
"2017年","276","ドイツ","9.5",""
"2017年","214","ドミニカ共和国","...","数字が得られないもの。"
"2017年","554","ニュージーランド","12.4",""
"2017年","578","ノルウェー","10.7",""
"2017年","348","ハンガリー","9.7",""
"2017年","050","バングラデシュ","...","数字が得られないもの。"
"2017年","591","パナマ","18.6",""
"2017年","608","フィリピン","16.3",""
"2017年","246","フィンランド","9.1",""
"2017年","250","フランス","11.3",""
"2017年","076","ブラジル","14.3",""
"2017年","100","ブルガリア","9.0",""
"2017年","704","ベトナム","",""
"2017年","862","ベネズエラ","...","数字が得られないもの。"
"2017年","112","ベラルーシ","10.8",""
"2017年","056","ベルギー","10.5",""
"2017年","604","ペルー","...","数字が得られないもの。"
"2017年","068","ボリビア","...","数字が得られないもの。"
"2017年","620","ポルトガル","8.4",""
"2017年","616","ポーランド","10.6",""
"2017年","458","マレーシア","15.9",""
"2017年","104","ミャンマー","...","数字が得られないもの。"
"2017年","484","メキシコ","16.1",""
"2017年","504","モロッコ","",""
"2017年","428","ラトビア","10.7",""
"2017年","440","リトアニア","10.1",""
"2017年","442","ルクセンブルク","10.4",""
"2017年","642","ルーマニア","10.3",""
"2017年","643","ロシア","",""
"2017年","156","中国","12.4",""
"2017年","710","南アフリカ","16.0",""
"2017年","392","日本","7.6","厚生労働省「人口動態調査」による。"
"2017年","410","韓国","7.0",""
"2017年","344","香港","7.7",""
"2017年","01000","北海道","6.4",""
"2017年","02000","青森県","6.3",""
"2017年","03000","岩手県","6.5",""
"2017年","04000","宮城県","7.2",""
"2017年","05000","秋田県","5.4",""
"2017年","06000","山形県","6.6",""
"2017年","07000","福島県","7.1",""
"2017年","08000","茨城県","7.2",""
"2017年","09000","栃木県","7.3",""
"2017年","10000","群馬県","6.9",""
"2017年","11000","埼玉県","7.4",""
"2017年","12000","千葉県","7.2",""
"2017年","13000","東京都","8.2",""
"2017年","14000","神奈川県","7.6",""
"2017年","15000","新潟県","6.6",""
"2017年","16000","富山県","6.9",""
"2017年","17000","石川県","7.7",""
"2017年","18000","福井県","7.6",""
"2017年","19000","山梨県","7.0",""
"2017年","20000","長野県","7.1",""
"2017年","21000","岐阜県","7.1",""
"2017年","22000","静岡県","7.3",""
"2017年","23000","愛知県","8.5",""
"2017年","24000","三重県","7.2",""
"2017年","25000","滋賀県","8.3",""
"2017年","26000","京都府","7.3",""
"2017年","27000","大阪府","7.7",""
"2017年","28000","兵庫県","7.7",""
"2017年","29000","奈良県","6.7",""
"2017年","30000","和歌山県","6.9",""
"2017年","31000","鳥取県","7.7",""
"2017年","32000","島根県","7.5",""
"2017年","33000","岡山県","7.9",""
"2017年","34000","広島県","7.9",""
"2017年","35000","山口県","6.9",""
"2017年","36000","徳島県","7.0",""
"2017年","37000","香川県","7.7",""
"2017年","38000","愛媛県","7.1",""
"2017年","39000","高知県","6.8",""
"2017年","40000","福岡県","8.6",""
"2017年","41000","佐賀県","8.2",""
"2017年","42000","長崎県","7.8",""
"2017年","43000","熊本県","8.4",""
"2017年","44000","大分県","7.6",""
"2017年","45000","宮崎県","8.1",""
"2017年","46000","鹿児島県","8.2",""
"2017年","47000","沖縄県","11.3",""
"2018年","352","アイスランド","12.0",""
"2018年","372","アイルランド","12.5",""
"2018年","031","アゼルバイジャン","14.0",""
"2018年","840","アメリカ合衆国","11.6",""
"2018年","784","アラブ首長国連邦","10.2",""
"2018年","012","アルジェリア","",""
"2018年","032","アルゼンチン","15.4",""
"2018年","887","イエメン","",""
"2018年","826","イギリス","11.0",""
"2018年","376","イスラエル","20.8",""
"2018年","380","イタリア","7.3",""
"2018年","368","イラク","...","数字が得られないもの。"
"2018年","364","イラン","16.6",""
"2018年","356","インド","20.0",""
"2018年","804","ウクライナ","7.9",""
"2018年","860","ウズベキスタン","23.3",""
"2018年","218","エクアドル","...","数字が得られないもの。"
"2018年","818","エジプト","24.5",""
"2018年","233","エストニア","10.9",""
"2018年","512","オマーン","19.4",""
"2018年","528","オランダ","9.8",""
"2018年","036","オーストラリア","12.6",""
"2018年","040","オーストリア","9.7",""
"2018年","398","カザフスタン","21.8",""
"2018年","634","カタール","10.2",""
"2018年","124","カナダ","10.0",""
"2018年","192","キューバ","10.4",""
"2018年","300","ギリシャ","8.1",""
"2018年","414","クウェート","13.3",""
"2018年","320","グアテマラ","23.4",""
"2018年","404","ケニア","...","数字が得られないもの。"
"2018年","188","コスタリカ","13.7",""
"2018年","170","コロンビア","...","数字が得られないもの。"
"2018年","384","コートジボワール","...","数字が得られないもの。"
"2018年","682","サウジアラビア","",""
"2018年","702","シンガポール","9.8",""
"2018年","756","スイス","10.3",""
"2018年","752","スウェーデン","11.4",""
"2018年","724","スペイン","7.9",""
"2018年","144","スリランカ","15.1","暫定値。"
"2018年","703","スロバキア","10.6",""
"2018年","705","スロベニア","9.5",""
"2018年","688","セルビア","9.2",""
"2018年","764","タイ","...","数字が得られないもの。"
"2018年","203","チェコ","10.7",""
"2018年","788","チュニジア","17.5",""
"2018年","152","チリ","11.8",""
"2018年","208","デンマーク","10.6",""
"2018年","792","トルコ","15.4",""
"2018年","276","ドイツ","9.5",""
"2018年","214","ドミニカ共和国","...","数字が得られないもの。"
"2018年","554","ニュージーランド","12.0",""
"2018年","578","ノルウェー","10.4",""
"2018年","348","ハンガリー","9.6",""
"2018年","050","バングラデシュ","...","数字が得られないもの。"
"2018年","591","パナマ","18.5",""
"2018年","608","フィリピン","15.8",""
"2018年","246","フィンランド","8.6",""
"2018年","250","フランス","11.1",""
"2018年","076","ブラジル","14.3",""
"2018年","100","ブルガリア","8.9",""
"2018年","704","ベトナム","...","数字が得られないもの。"
"2018年","862","ベネズエラ","",""
"2018年","112","ベラルーシ","9.9",""
"2018年","056","ベルギー","10.4",""
"2018年","604","ペルー","...","数字が得られないもの。"
"2018年","068","ボリビア","...","数字が得られないもの。"
"2018年","620","ポルトガル","8.5",""
"2018年","616","ポーランド","10.2",""
"2018年","458","マレーシア","15.5",""
"2018年","104","ミャンマー","...","数字が得られないもの。"
"2018年","484","メキシコ","15.3",""
"2018年","504","モロッコ","17.7",""
"2018年","428","ラトビア","10.0",""
"2018年","440","リトアニア","10.0",""
"2018年","442","ルクセンブルク","10.3",""
"2018年","642","ルーマニア","10.4",""
"2018年","643","ロシア","",""
"2018年","156","中国","10.9",""
"2018年","710","南アフリカ","16.5",""
"2018年","392","日本","7.4","厚生労働省「人口動態調査」による。"
"2018年","410","韓国","6.4",""
"2018年","344","香港","7.2",""
"2018年","01000","北海道","6.2",""
"2018年","02000","青森県","6.2",""
"2018年","03000","岩手県","6.2",""
"2018年","04000","宮城県","7.1",""
"2018年","05000","秋田県","5.2",""
"2018年","06000","山形県","6.4",""
"2018年","07000","福島県","6.8",""
"2018年","08000","茨城県","6.8",""
"2018年","09000","栃木県","7.0",""
"2018年","10000","群馬県","6.8",""
"2018年","11000","埼玉県","7.1",""
"2018年","12000","千葉県","7.1",""
"2018年","13000","東京都","8.0",""
"2018年","14000","神奈川県","7.4",""
"2018年","15000","新潟県","6.5",""
"2018年","16000","富山県","6.6",""
"2018年","17000","石川県","7.4",""
"2018年","18000","福井県","7.6",""
"2018年","19000","山梨県","6.9",""
"2018年","20000","長野県","7.0",""
"2018年","21000","岐阜県","7.0",""
"2018年","22000","静岡県","7.0",""
"2018年","23000","愛知県","8.4",""
"2018年","24000","三重県","7.2",""
"2018年","25000","滋賀県","8.2",""
"2018年","26000","京都府","7.1",""
"2018年","27000","大阪府","7.6",""
"2018年","28000","兵庫県","7.4",""
"2018年","29000","奈良県","6.7",""
"2018年","30000","和歌山県","6.5",""
"2018年","31000","鳥取県","7.5",""
"2018年","32000","島根県","7.3",""
"2018年","33000","岡山県","7.7",""
"2018年","34000","広島県","7.7",""
"2018年","35000","山口県","6.6",""
"2018年","36000","徳島県","6.8",""
"2018年","37000","香川県","7.2",""
"2018年","38000","愛媛県","7.0",""
"2018年","39000","高知県","6.5",""
"2018年","40000","福岡県","8.3",""
"2018年","41000","佐賀県","8.0",""
"2018年","42000","長崎県","7.6",""
"2018年","43000","熊本県","8.2",""
"2018年","44000","大分県","7.2",""
"2018年","45000","宮崎県","7.9",""
"2018年","46000","鹿児島県","8.1",""
"2018年","47000","沖縄県","11.0",""
"2019年","352","アイスランド","12.3",""
"2019年","372","アイルランド","12.0",""
"2019年","031","アゼルバイジャン","14.1",""
"2019年","840","アメリカ合衆国","11.4",""
"2019年","784","アラブ首長国連邦","10.0",""
"2019年","012","アルジェリア","",""
"2019年","032","アルゼンチン","13.9",""
"2019年","887","イエメン","",""
"2019年","826","イギリス","10.7",""
"2019年","376","イスラエル","20.1",""
"2019年","380","イタリア","7.0",""
"2019年","368","イラク","...","数字が得られないもの。"
"2019年","364","イラン","14.4",""
"2019年","356","インド","18.5",""
"2019年","804","ウクライナ","7.3",""
"2019年","860","ウズベキスタン","24.3",""
"2019年","218","エクアドル","...","数字が得られないもの。"
"2019年","818","エジプト","23.3",""
"2019年","233","エストニア","10.6",""
"2019年","512","オマーン","18.8",""
"2019年","528","オランダ","9.8",""
"2019年","036","オーストラリア","12.1",""
"2019年","040","オーストリア","9.6",""
"2019年","398","カザフスタン","21.7",""
"2019年","634","カタール","10.2",""
"2019年","124","カナダ","9.9",""
"2019年","192","キューバ","9.8",""
"2019年","300","ギリシャ","7.8",""
"2019年","414","クウェート","12.1",""
"2019年","320","グアテマラ","22.1",""
"2019年","404","ケニア","...","数字が得られないもの。"
"2019年","188","コスタリカ","12.7",""
"2019年","170","コロンビア","...","数字が得られないもの。"
"2019年","384","コートジボワール","",""
"2019年","682","サウジアラビア","",""
"2019年","702","シンガポール","9.8",""
"2019年","756","スイス","10.0",""
"2019年","752","スウェーデン","11.2",""
"2019年","724","スペイン","7.6",""
"2019年","144","スリランカ","14.6","暫定値。"
"2019年","703","スロバキア","10.5",""
"2019年","705","スロベニア","9.3",""
"2019年","688","セルビア","9.3",""
"2019年","764","タイ","...","数字が得られないもの。"
"2019年","203","チェコ","10.5",""
"2019年","788","チュニジア","16.8",""
"2019年","152","チリ","11.0","暫定値。"
"2019年","208","デンマーク","10.5",""
"2019年","792","トルコ","14.4",""
"2019年","276","ドイツ","9.4",""
"2019年","214","ドミニカ共和国","...","数字が得られないもの。"
"2019年","554","ニュージーランド","12.0",""
"2019年","578","ノルウェー","10.2",""
"2019年","348","ハンガリー","9.5",""
"2019年","050","バングラデシュ","...","数字が得られないもの。"
"2019年","591","パナマ","17.2",""
"2019年","608","フィリピン","15.6",""
"2019年","246","フィンランド","8.3",""
"2019年","250","フランス","11.0",""
"2019年","076","ブラジル","",""
"2019年","100","ブルガリア","8.8",""
"2019年","704","ベトナム","...","数字が得られないもの。"
"2019年","862","ベネズエラ","",""
"2019年","112","ベラルーシ","9.3","暫定値。"
"2019年","056","ベルギー","10.1",""
"2019年","604","ペルー","...","数字が得られないもの。"
"2019年","068","ボリビア","...","数字が得られないもの。"
"2019年","620","ポルトガル","8.4",""
"2019年","616","ポーランド","9.9",""
"2019年","458","マレーシア","15.0",""
"2019年","104","ミャンマー","",""
"2019年","484","メキシコ","16.5","暫定値。"
"2019年","504","モロッコ","",""
"2019年","428","ラトビア","9.8",""
